skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
rep1	8000	8000	6686.78624025418	6608.0473211368	3325.29079550052	2018.35865441935	7317.00895135622	7755.48012812589	7057.86002225701	7361.31380499772	4393.28276527275	2832.35683896133	756.516601414272	291.852119108731	176.857217132738	123.245162200244	103.031637638808	112.04249842505	107.988867814779	95.384134485564	96.4227103945586	97.7949402599449	89.6541573210467	67.3059253297673	75.9774076136988	143.852815859668	276.35170791983	366.382874194118	385.695003231159	365.93266746104	360.447020763087	398.796601981607	359.849397563388	385.712907614337	381.947702962701	407.288296042649	349.803035779113	307.25268650651	247.706275567129	224.425845313862	226.842034767223	274.21256442686	356.763164936305	597.687425545047	2083.28894811176	4666.57576059166	6228.51619073801	6890.52048422239	7414.31554247618	7599.85176834471
rep2	6443.54240651281	6678.30078543899	5830.97769979949	4055.29965358788	4362.26582197531	3853.80323752216	7864.66862794722	6668.25078793331	7272.62194319859	6156.81056163154	2198.58549936469	1413.18602133266	605.966827163334	275.800700005605	187.737196668514	131.266892997195	133.144654673895	159.352570012167	148.786316950444	130.520531351097	118.400183789053	122.712310998477	130.373779722099	141.868372185019	192.230236783011	239.403975841863	303.021952925944	648.308626664422	756.25510911241	702.610399383844	523.169971646598	442.477957730568	369.066337846952	368.940444578397	374.552743058584	340.93150264718	369.096692480831	277.489136104005	284.386009513936	304.604687154426	424.21351618716	769.386163022684	1469.39090913899	5168.68723752287	7618.82528874795	7964.19651254746	8000	7999.20869227454	8000	8000
rep3	8000	7764.21187798735	7381.46169348191	7114.14165374468	1757.74748984163	1117.47114485558	5453.81102600549	7535.73389466611	7247.87223674812	7220.71733996127	3757.73746554106	1274.62314509285	457.040874457503	212.794071527842	110.560340511338	85.2353146574905	77.377726252152	80.2391273415804	78.5037084189384	77.3940372699256	71.941814415415	68.6499075413456	70.8611102958761	68.6375903201577	81.1613483930696	93.4501205576031	130.926342547395	171.029764901514	240.96165618415	313.506626314086	262.924178626637	219.344315765467	183.346102592905	168.422595021069	176.959861455146	135.324669242835	117.611022332336	107.971818700889	90.2156699852488	80.9234583092788	91.1504608926134	138.305112758555	193.175463802874	297.088349494455	517.869469534988	942.062297485018	1838.33099678905	4959.82865355156	7728.64054501915	7834.80521045024
rep4	8000	7512.92302129272	6096.49218885065	6900.03548469455	4060.83641708417	3009.46968487911	7912.93415189679	5971.90054064522	7636.96370395791	5674.24787734496	3890.53350204334	1245.6696557026	537.424841760687	253.801554747125	168.367061540347	142.928366145876	135.586309834046	139.831269363315	129.591671770915	115.935406418396	109.32688283696	111.209579580086	117.529924183855	138.137006231096	161.29790647504	221.135648430381	438.673125486204	982.99536862443	806.852360857569	588.059193794335	411.703571047555	348.818793648411	338.647066907855	377.697529982442	346.302230709235	319.638761364382	258.756018272091	250.816860925316	265.51279852159	299.523122085627	397.990251181683	707.989570753047	1999.02086098026	3622.46882701654	7762.72980554164	7725.09796997166	7792.51388419632	7791.30178054915	7726.79817945229	7582.02071766883
rep5	8000	7489.37142261566	6541.2541513243	2981.3804471512	2090.75235238416	3119.42893193789	7383.36401785107	7218.48359918605	7420.34794297276	7055.90900625767	6396.63196446435	979.411117274837	265.573678752645	135.669152763334	106.236492066908	94.4546761499031	79.6477290117916	81.0125644548013	81.7440216370741	76.1870888960547	74.3430911036692	75.4236120813305	72.7183981371891	75.2564344324967	92.7116034309262	119.520151809931	203.158871125436	391.71188415421	823.486310965059	577.96651475133	245.384195262471	162.38382470134	133.928217246704	66.5183784726421	149.148943997684	200.738301330675	167.782571696531	158.574874457642	156.125764577342	161.234345909424	198.93431207006	266.553752957837	447.763982005988	1289.12217241563	2051.60095256098	5784.90815174469	8000	8000	8000	8000
rep6	1844.97032241693	1908.6416305308	2000	1938.89589885653	1513.49631830007	1317.34672689735	1638.42850542511	1702.18930701803	1541.21727536296	1671.49085572108	1639.91548277204	879.840561078895	347.695939373048	150.680709568083	90.1820217376242	61.5725600231662	50.7145194764093	57.3789045310875	53.618371672136	50.1500767562166	43.6079717583936	48.5598159025968	41.7917846786451	45.1189514683601	47.8739570596985	58.1935636029033	89.7468964937256	136.523621844833	221.400404480356	378.612817188178	265.362431694884	193.8483814164	152.372018626051	122.923017200441	135.24808302037	161.032546624696	132.689200075347	121.426356973576	92.2145737461744	96.0454677359682	99.1154849435193	121.763576106258	178.031409184268	298.694629962263	748.176452606128	1123.98927029153	1331.04409905519	1442.13562519923	1574.34471830998	1553.13226638149
rep7	1966.5893482008	1956.51703139919	1350.36942561878	2000	1848.6298864401	1475.19328711944	1626.10222844027	1769.77764257949	2000	1506.53478701091	1471.4184904754	418.466495571876	154.573809378847	71.5334972493782	46.1900719271323	34.5106478919089	28.5778343311144	28.3763047252631	24.0797663826852	25.5632375682213	25.3154474497904	24.0373123123668	24.0873161189085	24.2130128798794	29.6560201486903	45.002838038792	65.0849444553654	120.61166736927	87.3093480955543	84.9469063911564	76.8994143668123	57.0496890505212	65.5595697368321	69.7094844887454	79.5939719368705	64.0797825738772	53.1788366681403	43.2592874343096	43.0497018554158	48.7378013754294	59.04755277742	83.906781366431	125.158259246381	320.529781967514	884.466807522392	1949.38576607247	1986.62344410616	1955.39223646587	2000	2000
rep8	1932.38705133843	1918.78359254871	1506.11243951235	1428.81409910134	1258.50750064981	1415.39287702596	1673.38982537987	1769.67596508456	1911.65395305506	1848.13112640794	1518.03164397064	347.126555266745	144.650142896357	70.964943210353	45.2011802657524	34.1900988550609	34.5180906469099	34.6453942183624	39.0630787748045	31.9446537882407	27.3247810953213	24.8293571450531	23.6357446590009	28.0417595851958	31.821561513282	36.7955649199802	77.6931440809447	119.40503788205	188.719901801573	427.187397864675	199.5517569616	116.079909893388	138.741377997356	159.298491882963	327.005501634436	122.112810720441	89.866702681999	69.9333609795408	55.5142028816931	49.7794206612333	57.803055733374	95.9253812188841	264.168272569907	604.707929639696	2000	2000	2000	2000	2000	2000
rep9	2000	2000	1755.2864404013	1604.08670955767	1766.65203046433	1457.50291106983	1619.98260095711	1634.21811320906	1540.01720702173	1519.89825953873	1302.96546326953	931.287334490362	256.966067815551	101.870661020252	44.3755831352928	28.5538262225157	25.5603448211426	37.9158688561191	35.700733269725	34.4177434362432	30.1364951502377	23.0341179460164	22.5591638422751	22.5887829523906	25.4489461522035	35.9136221374507	37.2053524892543	109.317710134469	232.75507662363	334.694832223735	338.403182596008	215.730395655533	192.180402992092	276.910023034717	149.294966759423	156.200043043172	126.067691974388	98.2228536314133	98.5227240532994	99.9843921269516	105.043086593151	128.712957557141	192.526042313188	610.270034838989	1225.36143264112	1742.68290043533	1877.57405082092	2000	2000	2000
rep10	1794.61961394307	1806.66647152058	1456.01484821607	1528.82790232779	415.042630285765	314.788510484476	1764.64518680173	1351.67620225862	1638.59194620997	1852.43691246521	431.387741380173	85.4863972060121	96.8279435831062	34.3090895903789	24.589307864843	20.7178184245759	19.8838862450127	17.3138135447175	16.2807569754577	17.2233618999292	15.842628359555	13.6904119158506	13.4223643072783	14.7539397856441	16.9801828553828	20.8990147369347	56.5008773595978	148.739801483984	284.164863443299	159.589237553178	133.688305929886	89.8548235515451	94.557090498299	94.2132371723939	110.341089040981	101.588178661421	77.656775323718	41.0427660518863	40.550708742177	71.248837646471	87.8504443079216	185.716623970838	385.584709577845	712.495191116254	907.009401080052	1115.82899610028	1255.71689553316	1295.00630020749	1668.77214114406	1699.27348136495
rep1trunc	2000	2000	2000	1550.88085522731	1408.83191335395	690.120451629986	1919.77941462364	1965.38925481273	1773.87856377058	2000	1538.68967580976	1011.49040608557	296.619639512381	89.8298352212913	46.1807540736748	45.6708496605361	49.7008073190825	60.2514617330001	45.1567458003345	36.966997586607	31.4796542723243	33.0918318317972	31.2751777625099	39.4316741198428	51.7189915792241	90.649744283442	89.7264362183357	100.844963725472	102.029753220487	89.7392241943533	68.0537382924363	70.6337191496749	93.4304489202573	109.700403721989	123.717251286322	192.406568614056	134.87211368023	89.4304128065268	71.9045756314407	73.5156883545458	75.6091990614585	129.754605219573	254.600296216661	705.469356986352	1368.61377742296	1794.87084132073	1874.05646362873	1799.83864823919	1777.02999589607	1831.57484637561
rep2trunc	1960.09798998751	1819.38725800217	1794.85786732697	1588.455229241	1838.56529298302	1232.33173228301	1613.55309881567	1557.92465353617	1668.80618798373	1621.65798830007	1466.82765310914	338.847416136334	255.693260045959	129.282244182668	73.3931674782271	56.2493070311859	63.0711878885479	67.9298472035232	58.1452610138759	50.9779465939404	44.209777414338	45.9006727336938	46.450886263829	48.6497972590702	70.2060316643776	85.1876847650055	159.062755233313	377.679665780962	1153.90236718144	258.850435053644	282.463801357962	229.750829735392	220.841198601677	216.968905922698	205.775384511745	146.299515054196	127.437011937808	122.03776323949	115.743414255018	119.545236036468	157.484232291321	265.139576493465	496.403568088733	1844.8892835804	1941.08783299392	1932.05741814783	1900.78271571005	1984.51533205212	1993.69181019622	2000
rep3trunc	1838.60262448056	1644.67827678811	1721.42006615949	1716.1289503916	1220.66752832854	561.751284554257	1560.05172262258	1906.69582943431	1875.89648788218	1740.82442401411	1910.48012131505	789.926087205312	189.473162135637	83.3056338680586	57.1878920950152	39.0402573224787	35.1764134667991	35.4046141431087	35.4171737693526	32.2751982922731	28.6859384143672	33.5905224907513	31.8366111603365	29.2571754469809	32.5643445037351	38.5599724215738	61.1213812430271	64.214190940579	80.7758713303898	69.3347256465526	50.5085419208861	56.0995303877922	47.1931481727483	57.5621549152971	77.1315422000267	106.881565345036	101.204466389465	84.0742143467352	65.3700348764143	41.9088620224156	52.0293359657881	62.3327638202319	78.1913806343108	128.421190631826	227.61439615562	638.609410728506	1882.35737338384	1804.80997121778	1828.23134242664	1863.48444998115
rep4trunc	2000	1991.54558884332	1638.16486986984	1814.33566667803	1179.85110354842	1168.27438465156	1786.26323772704	1883.68364022834	2000	2000	1582.97092677007	597.854857861443	242.673710677424	85.4333545966841	60.0148983595331	31.8975256318104	58.6082993692265	73.2791943790811	54.4573637149585	43.5050538952162	45.664331910309	45.8708739143316	54.1777510450026	61.0302129989474	51.3772759160689	103.980000191189	327.320351991217	718.406535575651	353.649696446195	192.429789079017	116.944982025351	124.378833187679	285.123774349162	312.549874515384	243.985955370881	133.126515852569	113.864419588673	117.279809945116	112.704826400884	96.956795060941	125.803236568542	438.562039894963	1817.03039930672	1993.36785248371	2000	2000	2000	2000	2000	1969.29729914121
rep5trunc	2000	2000	1807.72697748271	981.025789964312	526.298121433303	604.276503756169	1675.70180398734	1760.08838369642	2000	1998.38185958791	1157.44162184534	277.543570147267	148.61529378702	42.8972917506466	28.1002585148339	21.6622606095661	20.1564644632927	19.457318202833	20.5015806210889	18.3886706980785	16.2047347916067	18.233505043078	17.7608642436921	18.0446991942135	19.487902663747	21.144047852256	27.4662155218664	41.393490156577	120.139047167413	246.57202832393	251.374095798641	194.211239763992	145.964479741578	117.088455666037	96.9642207228617	87.8771228366589	65.2793379259655	42.966142565773	55.9343655681591	50.4766016483828	40.1996025995335	49.7559768001824	60.3334962537182	95.5040899409253	218.276983307813	550.206308737744	1169.3434891316	1951.29927955692	1926.16734792736	1965.54689925465
