dataset	aicc_nobreak	aicc_1break	aicc_2breaks	aicc_3breaks
ebov_dud17	118612.82	NA	NA	NA
ebov_mba21	55614.16	56488.15	57635.44	NA
fluPb2_wor14	158969.88	162990.63	216677.36	NA
fluH1L_bed15	NA	NA	NA	NA
fluH3L_bed15	NA	NA	NA	NA
hiv_far14	NA	NA	NA	NA
lassaL_kli22	967945.19	967518.21	972136.28	NA
mumps_mon21	72135.37	73185.14	75061.96	NA
rabies_via23	72980.7	72077.22	70907.91	71422.64
wnv_del20	183321.98	185823.37	191599.59	NA
zikv_gru19	67716.92	68174.14	68935.51	NA
sars2_pek22	96978.83	99459.84	102604.16	NA
sars2_can20	109076.56	112874.98	NA	NA
sars2_lem21	246457.07	NA	NA	NA